concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
8197349814	1001480	Maps to	20220306	20991231	
8197349815	1001932	Maps to	20220306	20991231	
8197349816	1001771	Maps to	20220306	20991231	
8197349817	1002368	Maps to	20220306	20991231	
8197349813	4260905	Maps to	20220306	20991231	
1001480	8197349814	Mapped from	20220306	20991231	
1001932	8197349815	Mapped from	20220306	20991231	
1001771	8197349816	Mapped from	20220306	20991231	
4260905	8197349813	Mapped from	20220306	20991231	
1002368	8197349817	Mapped from	20220306	20991231	
8197349814	8555	Has unit	20220306	20991231	
8197349815	8555	Has unit	20220306	20991231	
8197349816	8555	Has unit	20220306	20991231	
8197349817	8555	Has unit	20220306	20991231	
